,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
92,0.0,0.0,1.0,0.25,0.1,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0785,0.9970021725862639,0.5725282655761366
93,0.0,0.0,1.0,0.25,0.15,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0665,0.9980704190769125,0.5758528913622066
94,0.0,0.0,1.0,0.25,0.2,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0545,0.9991465675295815,0.5792163543441227
95,0.0,0.0,1.0,0.25,0.25,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0425,1.0002307059475601,0.5826193390452876
96,0.0,0.0,1.0,0.25,0.3,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0305,1.0013229236457846,0.5860625461708938
97,0.0,0.0,1.0,0.25,0.35,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0185000000000004,1.002423311275366,0.5895466930889273
98,0.0,0.0,1.0,0.25,0.4,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0065,1.00353196084867,0.5930725143284326
99,0.0,0.0,1.0,0.25,0.45,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9945,1.004648965764966,0.5966407620957633
100,0.0,0.0,1.0,0.25,0.5,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9825000000000002,1.0057744208366572,0.6002522068095838
101,0.0,0.0,1.0,0.25,0.55,0.2,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9705,1.0069084223161073,0.6039076376554174
