,rownum,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,Eg,Eg-type,rA1,rA2,rA3,rA,rB,rC1,rC2,rC3,rC,TF,OF,duplicated
100,101.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.3,0.7,0.0,0.7,0.3,1.96,,1.67,2.16,2.53,2.4189999999999996,1.19,1.81,1.96,2.2,2.032,0.9768256620302056,0.5856299212598425,0
101,102.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.2,0.8,0.0,0.8,0.2,2.01,,1.67,2.16,2.53,2.456,1.19,1.81,1.96,2.2,2.008,0.9870308540390081,0.5926294820717131,0
102,103.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.1,0.9,0.0,0.9,0.1,2.07,,1.67,2.16,2.53,2.493,1.19,1.81,1.96,2.2,1.984,0.9973903778740306,0.5997983870967741,0
103,104.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,1.0,0.0,2.16,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,1.96,1.0079077611198726,0.6071428571428571,1
104,105.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.0,1.0,1.502,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.2,0.9866121165228229,0.5409090909090909,1
105,106.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.2,0.8,0.0,0.0,1.0,1.507,,1.67,2.16,2.53,2.456,1.19,1.81,1.96,2.2,2.2,0.9711767472579839,0.5409090909090909,1
106,107.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.4,0.6,0.0,0.0,1.0,1.514,,1.67,2.16,2.53,2.3819999999999997,1.19,1.81,1.96,2.2,2.2,0.9557413779931446,0.5409090909090909,1
107,108.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.6,0.4,0.0,0.0,1.0,1.53,,1.67,2.16,2.53,2.308,1.19,1.81,1.96,2.2,2.2,0.9403060087283055,0.5409090909090909,1
108,109.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.8,0.2,0.0,0.0,1.0,1.554,,1.67,2.16,2.53,2.234,1.19,1.81,1.96,2.2,2.2,0.9248706394634666,0.5409090909090909,1
109,110.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.0,1.0,1.563,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.2,0.9094352701986275,0.5409090909090909,1
