Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
81,Cs,MA,FA,Pb,Cl,Br,I,0.4000,0.6000,,,0.60,0.40,1.8200,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
82,Cs,MA,FA,Pb,Cl,Br,I,0.3000,0.7000,,,0.70,0.30,1.8700,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
83,Cs,MA,FA,Pb,Cl,Br,I,0.2000,0.8000,,,0.80,0.20,1.9500,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
84,Cs,MA,FA,Pb,Cl,Br,I,0.1000,0.9000,,,0.90,0.10,2.0600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
85,Cs,MA,FA,Pb,Cl,Br,I,0.0000,1.0000,,,1.00,0.00,2.1700,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
86,Cs,MA,FA,Pb,Cl,Br,I,0.7000,,0.3000,,0.30,0.70,1.7200,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
87,Cs,MA,FA,Pb,Cl,Br,I,0.6000,,0.4000,,0.40,0.60,1.7600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
88,Cs,MA,FA,Pb,Cl,Br,I,0.5000,,0.5000,,0.50,0.50,1.8100,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
89,Cs,MA,FA,Pb,Cl,Br,I,0.4000,,0.6000,,0.60,0.40,1.8500,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
90,Cs,MA,FA,Pb,Cl,Br,I,0.3000,,0.7000,,0.70,0.30,1.9200,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
91,Cs,MA,FA,Pb,Cl,Br,I,0.2000,,0.8000,,0.80,0.20,1.9700,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
92,Cs,MA,FA,Pb,Cl,Br,I,0.1000,,0.9000,,0.90,0.10,2.0800,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
93,Cs,MA,FA,Pb,Cl,Br,I,0.0000,,1.0000,,1.00,0.00,2.1600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
